feat0,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,feat20,feat21,feat22,feat23,feat24,feat25,feat26,feat27,feat28,feat29,feat30,feat31,feat32
8.27893,8.155574,8.440443,8.87758,8.530231,8.0722065,3.9429386,8.757916,9.032404,8.176189,8.845141,0.047006357,0.078869544,0.091736324,0.08898792,0.05466445,0.2708733,0.024617547,0.09852814,0.0156073375,0.0037754402,0.25063315,0.051120892,-0.07049166,0.018106926,-0.12934616,-0.040584356,8.040837,53.962376,0.9664821,0.27249777,8.557631,7.1137505
7.971423,8.084119,7.7546062,8.324556,8.162309,7.94903,3.4719906,7.9531255,8.38796,7.803231,8.24336,0.057738084,0.089260615,0.08611186,0.095954545,0.03688192,0.32297996,0.040536053,0.13497573,0.01590715,0.0051703556,0.19332291,0.17385978,0.038173903,0.015782448,-0.013137532,-0.105667844,7.839923,32.946224,1.0157982,0.3345131,8.11846,6.6761975
7.699345,7.739413,7.392109,8.175524,7.9763293,7.7658305,3.6309412,7.775873,8.219696,7.7189016,7.6836896,0.06376427,0.07230436,0.08766539,0.07995637,0.060164034,0.36630177,0.03898014,0.13784342,0.0146636665,0.007511682,0.17651747,0.22306073,0.29962757,0.01829995,-0.2631349,0.13266583,7.772941,27.498154,0.85764414,0.32872924,7.9692874,6.1785765
8.283895,8.447856,8.107386,8.70888,8.055199,8.081099,3.2246222,8.44575,8.821678,8.093192,8.721408,0.091590166,0.11082876,0.07839517,0.07574629,0.02795605,0.2803357,0.040092666,0.057331517,0.011356146,0.0060555795,0.25288966,0.20195034,0.09149644,0.0123310555,-0.25015673,0.118307725,7.959349,40.156384,1.1502314,0.30083767,8.391896,6.873615
7.8792343,7.9783535,7.8317676,8.464729,8.259594,8.053449,3.5417175,8.291419,8.56657,8.185872,8.3690195,0.059442386,0.09421329,0.088937074,0.09350384,0.0595061,0.32995114,0.041681528,0.1073608,0.017509885,0.00435269,0.24490725,-0.01694899,-0.017531374,0.013498115,0.048874844,-0.28197828,7.931944,33.56108,1.0999024,0.31062093,8.333164,6.5527287
7.7184863,7.7318773,7.5906663,7.9996834,7.802104,7.6633105,3.2270238,7.7894177,8.239077,7.7524223,7.920717,0.06652057,0.08108499,0.09197599,0.09107573,0.05058561,0.30062148,0.038993936,0.09042576,0.017954774,0.0050617186,0.24528654,0.043313753,-0.050253384,0.014568354,0.013667941,-0.08856739,7.7124987,28.221588,1.0534037,0.2899788,7.9774127,6.2733054
8.712456,8.957686,8.739549,9.512401,9.354181,9.12111,4.104369,9.071872,9.447135,9.328697,9.368128,0.0917721,0.093450576,0.050373264,0.07818061,0.04943424,0.28990933,0.06296662,0.020318022,0.014000746,0.0038245071,0.3105087,0.007517636,0.060045894,0.007388521,0.010629695,-0.1369859,8.348437,82.4024,1.0396413,0.23211305,9.3776045,7.226627
8.569706,8.732073,8.369237,9.081924,8.624374,8.211861,4.5156155,8.508426,9.050833,8.263695,9.075124,0.06804495,0.09524022,0.09415393,0.08091418,0.02854782,0.34231672,0.04108177,0.17260282,0.011942875,0.0031060353,0.16251862,0.10599714,0.2372547,0.02357409,0.025256146,-0.11013837,8.061271,56.282566,1.182944,0.36171776,8.686839,7.60279
8.549228,8.815241,8.592522,9.00458,9.102728,8.753766,4.0839334,9.053774,9.314106,8.99748,9.377571,0.088799864,0.0707438,0.080164105,0.08583674,0.056486387,0.34275725,0.046760295,0.14649549,0.01380973,0.0045226812,0.3148063,0.16065478,-0.016149318,0.015144892,-0.21841888,-0.099159956,8.257647,71.27103,1.352277,0.36421558,8.947538,7.6021514
9.220407,9.543591,9.283261,9.882234,10.523466,9.957942,4.012861,9.850293,10.09445,10.117445,10.232879,0.090790495,0.09180025,0.09606827,0.09157476,0.03664445,0.35295624,0.053503264,0.12164454,0.014618529,0.0039413474,0.33894894,0.18018204,0.09965336,0.017595168,-0.14463174,-0.112542376,8.733837,94.58771,1.5561926,0.34505564,9.770738,8.433653
7.9441075,8.011777,7.7249074,8.705972,8.179492,7.8117223,3.9017658,7.9420195,8.587013,7.729988,7.9564247,0.09221799,0.097150594,0.11507018,0.0850073,0.04011881,0.36873487,0.035137,0.13106394,0.013626877,0.0065755686,0.15051927,0.3028568,0.37928465,0.024855107,0.010557849,0.06844416,7.66846,25.43711,0.96202976,0.2778214,8.25522,6.2990727
