,UX_mean,UI_design,Player_usability,Catalogue_volume,Genre_coverage_within_category,New_release_speed,Genre_coverage_among_category,Cost_perf,Overall_satisfaction,NPS_intention,Continue_intention,Genre_1_top_share,Genre_2_top_share,Genre_3_top_share,Genre_4_top_share,Genre_5_top_share,Genre_6_top_share,Genre_7_top_share,Genre_8_top_share,Genre_9_top_share,Genre_10_top_share,Genre_11_top_share,Genre_12_top_share,Genre_13_top_share,Genre_14_top_share,Genre_15_top_share,Original_viewer_share,Original_quality,Usage_tenure_months,Personal_pay_ratio,Extra_service_use,Corporate_trust,SDGs_influence
new0,-11.470689,-10.284441,-9.384208,-7.8459373,-7.111818,-9.465746,-1.4523199,-7.9082074,-10.095003,-8.183899,-8.942617,-1.2542917,-2.1450367,-0.40779448,0.023064803,0.93168885,-1.2192802,-5.1245327,0.328153,5.7880735,-14.764247,-0.048733428,0.051120892,-0.07049166,3.543008,-0.12934616,-0.040584356,-17.116686,-2.943319,-1.0335178,-1.2814593,-10.112235,-5.0138
new1,-12.501631,-10.4566145,-11.126172,-8.750377,-7.6042743,-9.725569,-1.6939925,-9.3135395,-11.744285,-8.801752,-10.046459,-0.74322104,-1.269151,-0.76409405,0.6285198,-1.49086,-0.7568496,-0.27172446,1.0889068,6.3897905,6.546085,-0.50572723,0.17385978,0.038173903,2.3115,-0.013137532,-0.105667844,-18.579304,-3.3840032,-0.9842018,-0.5683969,-11.185584,-5.5024533
new2,-13.4137945,-11.287185,-12.046884,-8.994113,-7.8532047,-10.112,-1.612425,-9.623058,-12.174911,-8.941454,-11.073055,-0.45623985,-2.6984305,-0.6656807,-0.76184916,1.6809078,-0.3723816,-0.7460497,1.1487623,3.8941472,42.31487,-0.6397344,0.22306073,0.29962757,3.6452725,-0.2631349,0.13266583,-19.066921,-3.4982429,-1.1423559,-0.63490057,-11.550168,-6.0581903
new3,-11.454044,-9.580187,-10.230144,-8.121835,-7.74764,-9.44699,-1.8209325,-8.453314,-10.634299,-8.321394,-9.16958,0.8688965,0.5488748,-1.2529323,-1.1277384,-2.7068489,-1.1353043,-0.4068931,-0.531725,-2.7439687,20.069778,-0.030739775,0.20195034,0.09149644,0.48295322,-0.25015673,0.118307725,-17.709902,-3.2328146,-0.84976864,-0.95560235,-10.517295,-5.2819805
new4,-12.8107,-10.711456,-10.930189,-8.521132,-7.47406,-9.505312,-1.6582112,-8.722809,-11.287179,-8.167858,-9.815962,-0.6620582,-0.8516794,-0.58512187,0.41553462,1.5912764,-0.6949824,0.07747751,0.51251316,9.606442,-5.945509,-0.094391845,-0.01694899,-0.017531374,1.1012613,0.048874844,-0.28197828,-17.909407,-3.3711104,-0.90009755,-0.84311306,-10.660838,-5.6403418
new5,-13.349623,-11.305343,-11.542565,-9.281691,-8.086402,-10.328252,-1.8197001,-9.599407,-12.125314,-8.885922,-10.638279,-0.32497796,-1.9582926,-0.39261234,0.20451277,0.37602037,-0.9552742,-0.74184376,0.1590358,10.499324,4.88642,-0.09136742,0.043313753,-0.050253384,1.6682736,0.013667941,-0.08856739,-19.506931,-3.4830732,-0.94659626,-1.0804595,-11.53031,-5.952398
new6,-10.017259,-8.3517475,-8.624504,-6.8077197,-6.0089765,-7.253236,-1.3694799,-7.3599763,-9.033611,-6.2746224,-7.9833093,0.8775606,-0.9159698,-3.0280688,-0.91617644,0.21916719,-1.0503414,6.566308,-1.3042905,2.5636837,-14.014643,0.42871633,0.007517636,0.060045894,-2.1356,0.010629695,-0.1369859,-14.877408,-2.3469653,-0.96035874,-1.7458096,-8.108187,-4.8877416
new7,-10.495839,-8.895364,-9.565065,-7.511742,-6.9858093,-9.171165,-1.158444,-8.34387,-10.04784,-8.038935,-8.520763,-0.25238308,-0.7651169,-0.25464353,-0.6786075,-2.626231,-0.5852417,-0.105360195,1.8742795,-1.5664183,-24.99084,-0.7513616,0.10599714,0.2372547,6.4395103,0.025256146,-0.11013837,-16.96793,-2.8946676,-0.81705594,-0.25559312,-9.796443,-4.467648
new8,-10.564495,-8.694971,-8.997941,-7.638235,-6.3455424,-8.028094,-1.3799669,-7.391579,-9.374063,-6.823325,-7.965988,0.73601556,-2.8299737,-1.1408732,-0.25079766,1.1798948,-0.58133215,1.6257558,1.3293533,2.1803179,-3.348532,0.46298566,0.16065478,-0.016149318,1.9737233,-0.21841888,-0.099159956,-15.538351,-2.580377,-0.64772296,-0.22687285,-9.159284,-4.468361
new9,-8.314311,-6.940007,-7.2435226,-6.202877,-4.4439106,-5.488059,-1.4164385,-6.000691,-7.3769817,-4.967961,-6.3971066,0.8308142,-1.0550797,-0.13337371,0.24788164,-1.5232111,-0.49081913,3.6813715,0.810651,3.803557,-12.229659,0.6554999,0.18018204,0.09965336,3.2718794,-0.14463174,-0.112542376,-12.071762,-2.0914538,-0.44380742,-0.44717702,-7.147353,-3.539752
new10,-12.593208,-10.630922,-11.201605,-8.126592,-7.5812755,-10.0152,-1.4734482,-9.332933,-11.234861,-8.923088,-10.572781,0.8987949,-0.6040877,1.0703623,-0.32288265,-1.0498924,-0.35078865,-1.9176424,1.0072577,1.813336,28.013731,-0.84704494,0.3028568,0.37928465,7.118192,0.010557849,0.06844416,-19.827526,-3.5414605,-1.0379703,-1.2202475,-10.851336,-5.923621
new11,-12.882522,-10.994693,-11.596525,-8.745421,-7.9672127,-9.866246,-1.7390387,-9.316386,-11.955936,-8.840546,-10.317001,-0.3836258,-0.6162986,-0.9660961,0.39356264,0.47766465,-0.77851355,1.5167072,0.022211544,2.6929052,33.175808,-0.84900784,0.15863554,0.29569075,4.6436763,-0.23596148,0.041125063,-18.947006,-3.4231424,-1.0629171,-1.5099511,-11.3034315,-5.85922
new12,-10.837214,-9.198838,-9.351238,-7.377147,-6.7116585,-8.550575,-1.4531512,-7.9671707,-9.810464,-7.264499,-8.798006,-0.41614833,1.3476386,-1.659454,-0.18977891,0.6508058,-0.62377286,0.2267203,-0.015255094,8.969121,20.55979,-0.22580223,-0.019406937,-0.061287444,-0.25956824,-0.0024353713,-0.11751437,-16.368694,-2.957182,-1.0827626,-1.0834112,-9.528922,-5.2658796
new13,-11.867958,-10.952379,-10.880107,-8.585792,-7.4673266,-9.905652,-1.5399293,-8.545007,-10.898006,-8.345093,-9.697384,0.98337793,-4.4463525,-1.451482,-0.8914891,-0.0322118,-0.7847403,4.658342,0.773,3.137565,12.870787,-0.15752463,0.15589425,0.11277899,-0.7885064,-0.12794004,-0.05857479,-18.472904,-3.1218312,-1.0770532,-0.5954297,-10.986661,-5.4673204
new14,-10.47291,-8.141101,-8.964417,-6.985607,-6.4358883,-8.144425,-1.094915,-7.284695,-9.561107,-7.1567206,-8.296815,0.57026964,1.6191417,0.7984752,-1.196905,-0.5703448,-0.8854315,-4.4295497,1.0430872,6.38198,-18.066359,-0.15601031,0.040421523,0.030072086,0.71252996,-0.024717571,-0.22150779,-15.807531,-3.0933259,-0.89201534,-0.44920638,-9.134412,-3.976944
new15,-7.420639,-6.9944773,-7.2580132,-5.5752525,-4.832325,-6.717956,-0.8930563,-5.620485,-7.2937737,-5.7318244,-6.4631777,0.08410261,-3.1230252,-1.7140808,-0.70600456,-0.06308279,-0.2533984,2.5404227,1.9601464,7.244451,1.6469718,-0.17301609,0.057056073,0.031909756,-2.3168807,-0.2017629,0.07247414,-12.153355,-2.3825746,-0.90308243,0.28401092,-7.54314,-3.5392115
new16,-12.8919935,-11.151594,-11.431031,-9.200632,-8.06365,-10.421678,-1.7049606,-9.15945,-12.231322,-9.135021,-10.264802,0.98113006,-2.1589713,-0.83491766,-0.038950577,1.2839311,-0.53789514,-2.0799809,2.183784,10.257769,14.67426,0.31846243,-0.10752042,0.026483484,1.1964691,-0.1667436,-0.008087136,-19.378828,-3.5050716,-1.0988876,-0.009968602,-11.62538,-5.993328
new17,-11.672893,-10.267083,-10.598231,-8.446247,-7.365478,-9.690018,-1.6195718,-8.599786,-11.159425,-8.324614,-9.3625345,-0.56816715,-2.6207466,-2.5209167,-0.8854551,-2.0813477,-0.74738175,0.48396257,1.0164641,-2.0712924,29.844593,0.19482003,0.121660024,0.027079787,0.34189653,-0.20784172,-0.037705466,-17.88902,-3.2816815,-1.1101263,-1.1149297,-10.415181,-5.5171075
new18,-12.891536,-10.9817295,-10.763902,-9.070822,-8.330364,-10.134174,-1.8018949,-8.960056,-11.768083,-8.513822,-9.966953,1.056289,-1.1743789,0.6139545,-0.38089377,-1.2432337,-1.2141055,-3.530677,-0.7762727,0.93454367,20.82604,0.011668683,0.10085528,0.11220768,3.5048552,-0.1498567,0.13387908,-19.227015,-3.3493645,-0.80616885,-1.4813952,-11.512138,-5.615031
new19,-11.92812,-10.328869,-10.07869,-8.636214,-7.8220477,-9.898384,-1.7322512,-8.278095,-10.829898,-8.814063,-9.433995,0.4857989,-1.2963077,0.34221187,1.0474472,1.928295,-1.2035924,-2.0228405,-0.03697904,2.6152942,14.495972,-0.17343847,0.10322594,0.10126889,-1.8444225,-0.011267304,0.025775101,-18.297987,-3.3231952,-0.87802047,-0.89218545,-10.905644,-5.4583883
