,PC1,PC2,PC3,PC4,PC5,PC6
Apple TV＋,-3.3471768,1.0418302,1.761453,-3.8287978,-2.8612864,0.0983697
アニメ放題,8.370137,-1.6973691,2.1390674,-0.14747268,-0.40362784,-0.21486057
ABEMAプレミアム,-0.6732311,0.5542038,0.8799079,0.1977512,0.8639245,1.9365578
Amazonプライム・ビデオ,0.013275259,1.5670773,1.0051434,-0.107662864,0.65566105,-0.5345771
FODプレミアム,-1.987291,0.58585775,-0.5398475,1.6631306,1.6012378,0.44355446
SPOOX（スプークス）,3.2144089,4.5625067,-1.807913,-0.26255974,0.7080104,-1.4686141
DAZN,-4.3021092,-3.0749516,-2.4915988,-1.753059,1.2966405,-1.1768833
dアニメストア,2.3984475,-2.7016296,0.7492235,0.5101525,-0.7557226,-1.0115243
DMM TV,-0.1323554,-1.2889395,-0.85769975,3.4936006,-2.3629222,1.7523823
Disney＋（ディズニープラス）,-0.17978127,1.1284261,0.67468995,0.4056868,-0.30206984,-1.6533813
TELASA（テラサ）,-4.2674723,-0.24918607,1.373005,-0.6763308,0.18188277,0.31693196
Netflix,1.1198144,1.7330946,1.0395886,0.95560837,0.85963684,-1.3732004
バンダイチャンネル,-0.4306564,-3.3413827,0.3015641,0.87387013,-1.3083913,-1.4335977
Hulu,-0.5975034,0.5945402,2.3787086,-0.7684568,0.26332572,0.82100874
U‐NEXT,-0.32175604,1.1392299,0.22293787,0.71478975,-0.13265844,-0.9283959
Lemino,-4.7221766,1.7661678,-1.0007005,2.039757,-1.0873479,-0.6397483
NBA Rakuten,5.6429653,-1.1628016,-1.2757264,-1.1427066,1.4211267,0.30740753
HISTORY ヒストリーチャンネル,3.2388132,1.5933051,-3.445909,-1.3226092,-1.9038377,2.5220265
Rakuten パ・リーグSpecial,-1.2909455,-2.0932188,-2.5906558,-0.983912,0.84123707,-0.47816786
その他,-1.7454041,-0.65675884,1.4847616,0.13922127,2.4251816,2.7147114
