,PC1,PC2,PC3,PC4,PC5,PC6
new0,4.350568,0.42956465,1.787896,-0.7776824,1.8331194,-0.2465816
new1,2.1534083,0.58392787,0.64762604,-0.2877628,0.616192,0.31074986
new2,0.9439118,0.44089633,0.37905264,0.24784912,0.2653833,0.35472953
new3,3.7009833,0.5030604,1.1626961,-0.70075595,1.2939761,-0.08163665
new4,2.679311,0.5760502,0.83711,1.0244044e-06,0.8303518,0.13407801
new5,1.0033243,0.28006488,0.30943984,0.0057769343,0.40158355,0.22374274
new6,7.4366617,0.443385,3.6091592,-2.3956902,3.5766559,-1.1335751
new7,5.056218,1.0351,2.0144386,-1.253986,1.7020204,-0.06982772
new8,6.462276,0.75536007,2.6610432,-1.8138316,2.9121795,-0.50590515
new9,10.742131,1.126255,4.1450944,-2.66527,4.641397,-0.8449478
new10,2.030919,0.69230974,0.73199105,0.28635025,0.074182846,0.49650618
new11,1.5674529,0.37184942,0.7540772,-0.07418934,0.47511932,0.16713168
new12,5.35536,0.7376392,2.267778,-0.9294032,2.01886,-0.25181103
new13,2.8282194,0.41020223,1.2866548,-0.7549751,1.2831361,0.034794107
new14,6.3882456,1.6613225,1.7662094,-0.5978502,1.9331194,0.14221163
new15,10.422859,1.5537722,3.8678074,-1.8704724,3.8148081,-0.1954212
new16,1.2608526,0.43722826,0.20468794,0.033114787,0.29642516,0.42162377
new17,3.249698,0.37676787,1.0769694,-0.5239341,1.0324003,0.19906826
new18,1.80612,0.2663836,0.6143819,-0.29879475,0.9131083,-0.056208536
new19,2.9287016,0.5531318,1.023832,-0.266491,0.9966612,0.03893371
