PC,feature,abs_loading
PC1,UX_mean,0.29476702213287354
PC1,Overall_satisfaction,0.29344189167022705
PC1,Catalogue_volume,0.2922293543815613
PC2,SDGs_influence,0.3916456699371338
PC2,Genre_2_top_share,0.37804558873176575
PC2,Extra_service_use,0.3753075897693634
PC3,Genre_4_top_share,0.33542272448539734
PC3,Genre_10_top_share,0.3105442225933075
PC3,Genre_11_top_share,0.29849570989608765
PC4,Original_quality,0.4064156711101532
PC4,Genre_14_top_share,0.364116907119751
PC4,Usage_tenure_months,0.34206515550613403
PC5,Genre_11_top_share,0.38443446159362793
PC5,Original_quality,0.3300844728946686
PC5,Genre_10_top_share,0.3203592002391815
PC6,Genre_9_top_share,0.5216895341873169
PC6,Genre_10_top_share,0.36274197697639465
PC6,Genre_8_top_share,0.3599016070365906
