user_id,area,age_group,gender,main_service,service_count,total_satisfaction,ux_satisfaction,content_satisfaction,price_satisfaction,continue_intention,nps_score,cluster
1,6,2,32,17,1,6,6.625,6.666666666666667,7,6,6,1
2,2,1,57,9,4,8,8.0,8.0,8,8,8,1
3,6,1,33,17,35,7,6.625,6.666666666666667,7,7,7,2
4,6,1,28,11,5,9,7.625,9.666666666666666,10,10,9,2
5,3,1,40,5,1,10,10.0,10.0,10,10,10,2
6,3,1,51,11,1,9,6.75,8.666666666666666,10,10,8,2
7,4,1,47,5,1,10,8.5,10.0,8,10,10,2
8,6,2,52,22,2,8,7.25,8.0,7,8,8,1
9,3,1,38,5,1,5,4.625,3.3333333333333335,4,5,5,3
10,3,2,49,5,2,8,7.25,7.0,7,9,8,1
11,6,1,36,5,4,10,7.875,5.666666666666667,8,10,10,1
12,3,1,46,5,1,8,6.375,6.333333333333333,9,8,8,1
13,5,2,51,5,1,6,5.75,5.333333333333333,5,6,6,3
14,6,1,25,11,2,8,7.625,8.666666666666666,9,10,6,1
15,3,1,66,5,7,9,8.625,8.333333333333334,8,10,9,2
16,8,1,29,5,1,10,10.0,10.0,10,10,10,2
17,7,1,37,5,1,9,7.25,7.333333333333333,7,8,8,1
18,7,1,50,5,1,7,7.125,7.0,7,8,8,1
19,3,2,24,22,1,5,5.0,5.0,5,5,5,3
20,6,1,48,5,1,8,8.875,8.666666666666666,10,10,8,2
21,7,2,52,5,1,9,6.875,6.666666666666667,5,9,7,1
22,1,1,39,5,1,10,8.25,9.333333333333334,9,10,9,2
23,7,2,21,5,2,9,8.125,9.0,10,10,10,0
24,7,1,47,5,5,9,9.5,9.666666666666666,10,10,9,2
25,5,2,69,5,3,8,7.875,7.0,7,10,7,1
26,1,1,52,5,1,7,7.0,6.0,7,7,7,1
27,6,1,68,17,2,8,8.25,8.0,9,9,8,2
28,3,1,33,17,2,8,7.5,7.666666666666667,7,7,9,1
29,3,1,65,20,2,7,6.75,4.333333333333333,6,6,6,3
30,5,1,56,5,1,7,7.0,7.0,7,7,7,1
31,5,1,53,5,14,9,9.0,9.0,9,9,9,2
32,3,2,47,5,1,8,8.0,8.0,5,7,8,1
33,3,1,75,17,2,7,6.5,6.666666666666667,7,7,7,1
34,5,2,26,17,2,7,9.125,8.666666666666666,8,8,8,0
35,8,1,65,20,2,10,10.0,9.666666666666666,10,10,10,2
36,3,2,26,17,1,7,7.0,6.0,5,8,7,1
37,8,1,48,5,1,8,5.25,5.333333333333333,10,8,8,1
38,6,2,61,17,4,8,8.0,7.0,7,9,7,1
39,8,1,40,4,3,8,8.25,8.333333333333334,9,8,8,1
40,4,1,58,5,4,9,9.5,10.0,10,10,10,2
41,2,2,46,5,2,9,6.875,7.666666666666667,9,9,8,1
42,6,2,67,17,2,8,7.0,7.333333333333333,6,7,7,1
43,8,1,41,17,4,8,6.75,6.666666666666667,7,8,8,1
44,6,1,49,20,1,10,9.25,9.0,8,7,9,2
45,6,2,61,5,2,6,4.625,6.0,6,4,5,3
46,1,1,59,9,2,7,6.375,5.0,4,10,6,1
47,3,1,62,17,2,8,7.25,4.0,5,8,8,1
48,3,2,54,17,1,10,7.0,7.0,7,10,8,1
49,3,1,48,22,2,8,7.0,8.666666666666666,7,8,4,1
50,3,1,66,5,2,8,7.25,7.0,7,5,5,1
51,3,1,50,22,1,4,5.625,4.0,5,4,3,3
52,3,1,38,17,27,9,8.5,7.333333333333333,9,9,9,2
53,8,1,59,9,2,6,4.75,5.0,5,5,4,3
54,3,1,58,5,1,9,8.625,8.333333333333334,10,9,8,2
55,6,1,61,5,1,8,7.875,8.333333333333334,8,9,9,1
56,1,1,48,20,2,10,10.0,10.0,10,10,9,2
57,3,2,38,5,1,9,8.0,7.0,10,10,9,0
58,8,2,45,17,2,8,7.625,7.333333333333333,7,8,8,1
59,3,1,62,5,1,9,7.5,9.333333333333334,8,9,9,1
60,6,1,40,5,15,10,9.875,10.0,10,10,10,2
61,3,2,36,17,2,7,6.75,6.333333333333333,7,8,8,1
62,3,1,36,17,2,8,7.125,7.0,7,9,8,1
63,6,2,30,17,1,9,7.875,8.0,7,8,8,0
64,7,1,46,5,11,7,6.25,6.666666666666667,6,7,7,1
65,3,1,53,5,1,6,5.875,6.0,6,7,5,3
66,3,2,45,5,3,10,9.125,9.333333333333334,9,10,8,0
67,7,1,50,5,3,8,6.75,6.333333333333333,7,8,7,1
68,3,2,30,5,5,7,7.5,6.333333333333333,6,7,8,1
69,5,1,27,5,1,9,7.5,8.0,8,8,8,1
70,8,1,45,5,3,8,7.75,7.666666666666667,7,7,7,1
71,6,2,43,22,5,8,7.875,8.0,8,8,7,0
72,7,1,50,5,2,8,7.0,7.333333333333333,8,9,8,1
73,3,1,52,5,1,8,8.5,8.666666666666666,9,8,10,1
74,8,1,51,5,1,8,8.125,8.0,9,9,9,1
75,7,1,22,5,2,10,10.0,9.0,9,9,9,2
76,3,1,43,5,3,8,7.875,7.666666666666667,9,8,7,1
77,5,2,26,17,1,10,7.125,8.0,8,10,10,0
78,3,1,23,22,2,10,8.125,9.0,10,10,10,2
79,3,1,46,5,6,10,8.625,8.333333333333334,8,9,8,2
80,6,1,49,5,1,5,5.0,4.666666666666667,5,5,5,3
81,3,2,59,5,2,7,5.625,5.0,5,6,5,3
82,3,1,45,9,2,7,5.875,6.0,6,6,6,1
83,5,1,28,17,2,9,8.375,8.666666666666666,9,9,9,2
84,3,1,56,5,2,8,8.0,8.333333333333334,8,7,7,1
85,3,1,44,5,1,9,8.0,8.666666666666666,9,8,8,1
86,5,1,45,5,1,7,5.5,6.666666666666667,6,7,7,1
87,3,1,47,5,2,9,9.125,9.0,9,9,9,2
88,7,1,23,5,1,8,6.125,6.0,6,6,6,1
89,6,2,71,5,1,10,8.25,8.666666666666666,9,10,10,0
90,3,1,37,5,1,10,8.0,8.0,8,8,8,1
91,2,2,38,5,1,9,6.125,7.333333333333333,9,6,7,1
92,7,2,52,5,2,5,5.375,4.666666666666667,5,7,5,3
93,3,1,54,20,1,7,6.625,6.0,6,7,7,1
94,3,1,59,5,1,6,7.0,6.333333333333333,7,8,7,1
95,3,1,36,5,4,8,6.5,5.333333333333333,10,8,8,1
96,5,1,71,5,1,8,7.625,7.666666666666667,9,8,9,1
97,3,2,49,12,3,9,8.375,8.666666666666666,10,8,8,0
98,6,1,24,22,2,8,8.0,8.0,8,10,8,2
99,4,1,58,5,3,9,8.0,7.666666666666667,8,9,9,1
100,7,1,62,17,3,10,7.75,6.666666666666667,6,7,6,1
101,3,2,33,22,1,8,6.75,9.0,6,8,8,1
102,3,1,58,22,4,10,8.5,8.0,8,10,10,2
103,3,1,67,17,3,8,8.25,8.333333333333334,8,5,5,1
104,8,2,30,5,1,9,7.125,6.666666666666667,7,9,7,1
105,6,2,72,5,1,8,7.125,7.0,8,10,8,1
106,3,1,25,5,1,8,7.5,8.333333333333334,8,8,8,1
107,2,1,54,22,3,10,9.125,8.666666666666666,9,10,10,2
108,4,2,28,22,5,8,7.875,8.0,7,5,7,1
109,3,1,67,17,2,10,10.0,9.0,10,10,10,2
110,6,1,33,17,2,10,9.75,10.0,10,10,10,2
111,5,1,47,11,1,7,5.0,7.333333333333333,6,6,5,3
112,3,1,48,5,1,7,6.25,6.333333333333333,7,7,6,1
113,3,1,25,5,1,8,7.0,7.0,7,7,6,1
114,3,2,28,22,2,7,5.375,10.0,7,10,7,1
115,7,1,43,5,2,8,7.375,7.333333333333333,7,6,8,1
116,1,1,32,15,3,7,6.0,7.333333333333333,4,7,7,1
117,4,2,25,6,1,10,10.0,9.333333333333334,10,10,10,0
118,2,1,64,5,2,8,8.625,7.0,6,8,7,1
119,5,2,27,20,2,8,6.5,7.666666666666667,6,8,7,1
120,3,2,33,5,1,8,6.0,8.0,7,7,7,1
121,6,1,28,17,1,8,7.625,8.333333333333334,7,8,7,1
122,1,1,40,20,3,8,7.25,8.0,9,8,7,1
123,6,1,38,22,1,7,7.875,7.666666666666667,8,6,7,1
124,3,2,19,20,1,8,7.0,7.0,7,6,7,1
125,8,2,43,17,2,9,8.5,9.0,9,9,9,0
126,7,1,29,11,3,9,7.0,6.666666666666667,9,10,8,1
127,8,2,21,5,1,9,8.875,7.666666666666667,8,9,9,0
128,6,1,47,22,1,6,6.625,6.666666666666667,5,6,5,3
129,3,1,28,17,11,9,9.5,8.666666666666666,10,9,9,2
130,3,1,45,5,2,9,8.0,8.0,8,8,8,1
131,4,1,71,5,3,7,7.625,7.0,7,7,7,1
132,6,1,56,5,2,8,7.625,7.333333333333333,8,9,8,1
133,6,1,49,15,1,8,7.625,8.0,5,7,7,1
134,3,1,34,4,3,10,10.0,10.0,10,10,10,2
135,8,1,64,5,3,5,4.625,4.333333333333333,4,5,5,3
136,5,1,47,5,1,7,7.125,6.333333333333333,6,5,5,1
137,3,2,26,5,1,8,7.375,7.333333333333333,5,9,8,1
138,3,2,49,9,1,6,7.0,7.0,4,5,5,3
139,3,1,62,22,1,8,8.75,8.0,9,9,8,2
140,6,1,41,9,1,10,6.25,7.0,7,9,9,1
141,3,1,60,5,1,8,8.0,8.0,8,5,5,1
142,3,2,24,17,1,7,7.25,6.666666666666667,7,5,7,1
143,4,1,77,5,5,10,10.0,10.0,10,10,10,2
144,5,1,36,5,1,8,4.75,4.666666666666667,6,6,7,1
145,7,1,57,5,1,9,8.25,7.0,10,10,9,2
146,6,1,60,5,2,5,5.0,5.0,5,5,5,3
147,3,1,33,22,2,8,7.875,7.666666666666667,8,7,5,1
148,8,1,43,17,2,8,8.0,8.666666666666666,9,9,8,2
149,3,1,42,5,2,7,6.5,6.0,7,7,7,1
150,3,1,54,5,2,9,8.25,9.0,9,10,10,2
151,3,1,55,22,1,6,6.875,7.333333333333333,8,7,7,1
152,6,1,29,11,2,10,9.75,9.333333333333334,10,10,9,2
153,6,1,50,5,2,9,9.0,9.0,9,10,9,2
154,3,1,60,17,2,8,7.875,9.0,9,8,8,2
155,6,2,62,5,1,5,4.75,2.3333333333333335,6,3,5,3
156,3,1,31,5,1,7,7.0,7.0,7,7,7,1
157,3,2,23,5,1,7,6.625,6.333333333333333,6,7,7,1
158,6,1,22,5,1,8,6.625,6.666666666666667,7,8,6,1
159,3,2,54,20,1,7,9.375,5.0,4,5,5,3
160,8,1,54,5,1,9,9.25,9.666666666666666,9,9,9,2
161,5,1,39,5,1,10,9.625,10.0,10,10,9,2
162,3,2,67,5,1,8,7.375,7.0,7,8,7,1
163,3,2,25,17,1,8,9.375,7.666666666666667,8,10,10,0
164,6,1,46,17,2,7,6.875,8.0,7,7,7,1
165,8,2,28,17,2,8,8.125,8.666666666666666,9,8,8,0
166,5,2,50,5,1,9,7.125,6.666666666666667,6,10,8,1
167,3,1,58,17,3,7,8.875,8.0,8,7,6,1
168,4,1,50,11,1,8,7.25,6.666666666666667,9,9,8,1
169,3,1,51,15,1,6,4.125,3.6666666666666665,1,1,5,3
170,3,1,26,17,2,8,7.5,8.0,7,8,7,1
171,3,2,24,5,1,9,6.375,5.666666666666667,6,8,8,1
172,4,1,41,5,1,7,6.375,6.666666666666667,6,7,7,1
173,6,1,24,5,3,10,9.875,10.0,10,10,10,2
174,5,1,67,17,3,7,6.5,6.666666666666667,6,6,6,1
175,5,1,28,5,1,8,7.25,7.0,9,9,7,1
176,3,2,43,5,1,8,4.25,6.333333333333333,10,8,5,1
177,3,1,53,9,1,7,6.125,6.666666666666667,7,7,6,1
178,3,1,43,5,2,9,7.5,8.333333333333334,8,9,9,1
179,3,2,27,20,3,6,5.75,5.333333333333333,3,5,6,3
