service,users_existing,users_nonuser,total_users,blue_score,novelty,sales_JPY
new0,5572642,820335,6491980,0.0026969552930583853,0.3528247,6491980110
new1,5072652,458062,5581215,0.0013405254513083277,0.31407058,5581215562
new2,4570803,292969,4893885,0.0005659816491730551,0.20732707,4893885755
new3,4895939,371178,5306734,0.0005897898065737057,0.17052597,5306734412
new4,4761537,506872,5324980,0.0018229212557874443,0.38596302,5324980167
new5,4623537,306121,4961342,0.0007032374212191661,0.24653828,4961342376
new6,4476307,638361,5188209,0.002627929611417706,0.4417978,5188209495
new7,5423647,812624,6334096,0.0028155357229793644,0.3718329,6334096303
new8,5387120,709498,6180291,0.0022465611666741465,0.33981586,6180291365
new9,4989221,853112,5945436,0.0034725814511643045,0.4368403,5945436977
new10,4905830,397602,5346303,0.0006768621927238355,0.18269557,5346303049
new11,4800268,322734,5156720,0.0004714703120447475,0.1567781,5156720484
new12,4717209,315561,5065605,0.0005943027674322333,0.20211595,5065605525
new13,4864035,350092,5251163,0.0005303340879709527,0.16257131,5251163634
new14,5233144,705947,6022182,0.002507045321527992,0.3811242,6022182801
new15,4730362,482710,5266542,0.001783929342371756,0.39661384,5266542515
new16,5055338,458328,5564193,0.0012970834144388824,0.3037163,5564193455
new17,4882489,370570,5292596,0.0005221745333657569,0.15122437,5292596197
new18,5571972,542344,6175866,0.0010562988572831965,0.20902032,6175866047
new19,5481574,488972,6025160,0.0008774514746663798,0.19258165,6025160375
