service,from_existing,from_nonuser,from_residual,residual_ratio,total_inflow,nonuser_ratio,novelty,BlueOceanScore,estimated_sales,arpu,eps,tau,nonuser_mass,D_nonuser,residual_mass
new0,803720.3799025649,180399.3528574196,0.21458668097293793,2.1804931558545856e-07,984119.9473466655,0.18331033055859017,0.54768103,0.000992424187233507,1180943936.8159986,1200,0.1,0.05,0.09437326647489767,0.5589665770530701,0.1
new1,860672.9854352311,164260.89758481344,0.1589057743426871,1.5504000047076994e-07,1024934.0419258188,0.16026484716633313,0.41972306,0.0006925189940914919,1537401062.8887281,1500,0.1,0.05,0.09437326647489767,0.5589665770530701,0.1
new2,1098471.8762466968,213739.82908068912,0.5040884152718434,3.8415159655941955e-07,1312212.2094158013,0.16288510924299843,0.40198883,0.0008630463326201864,1312212209.4158013,1000,0.1,0.05,0.09437326647489767,0.5589665770530701,0.1
new3,465869.01054148714,152394.9623211032,0.07870119690081717,1.2729382648361442e-07,618264.0515637872,0.24648847355049622,0.48333538,0.0007398673409678553,803743267.0329233,1300,0.1,0.05,0.09437326647489767,0.5589665770530701,0.1
new4,2279786.064449061,122905.2146021656,0.11705661789553413,4.871895661887994e-08,2402691.3961078445,0.05115314218099818,0.25952023,0.00032038796574617926,3844306233.772551,1600,0.1,0.05,0.09437326647489767,0.5589665770530701,0.1
new5,3680724.022909572,205963.3369856147,1.1224371730740785,2.8879010452633864e-07,3886688.4823323595,0.05299198480193564,0.22945751,0.0004747083428412906,4664026178.798831,1200,0.1,0.05,0.09437326647489767,0.5589665770530701,0.1
new6,970982.8734941721,202985.8688533208,0.38083903014450626,3.2440293583768956e-07,1173969.1231865229,0.1729056283033689,0.4355607,0.0008880740070396162,1408762947.8238275,1200,0.1,0.05,0.09437326647489767,0.5589665770530701,0.1
new7,695623.6506236284,221960.1836736378,0.4242708870795055,4.6237812290019025e-07,917584.2585681531,0.2418962417903683,0.35776564,0.0007976426603438159,1101101110.2817838,1200,0.1,0.05,0.09437326647489767,0.5589665770530701,0.1
new8,757289.0395836285,184828.2649242157,0.22543073715391992,2.392809070951224e-07,942117.5299385814,0.19618387202312756,0.45153052,0.0008382820313375194,1130541035.9262977,1200,0.1,0.05,0.09437326647489767,0.5589665770530701,0.1
new9,855932.9365711292,205268.5229339111,0.3634365925405588,3.4247641182251175e-07,1061201.8229416327,0.19343023965498887,0.4041722,0.0008333423863522917,1273442187.5299592,1200,0.1,0.05,0.09437326647489767,0.5589665770530701,0.1
